Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,,,
VAI,Cnj,VAI_rfx,waabandizo,waabandizo,Excl,Excl,Neu,Pos,waabandizoyaang,<<waabandizo>>yaang,NJ-Zoom-2023-Sep19; JRV-Web-ANISH,,,
VAI,Cnj,VAI_rfx,waabandizo,waabandizo,Incl,Incl,Neu,Pos,waabandizoyang,<<waabandizo>>yang,NJ-Zoom-2023-Sep19; JRV-Web-ANISH,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,1Sg,1Sg,Neu,Neg,niwaabandizosii,ni<<waabandizo>>sii,NJ-Zoom-2023-Sep19,niwaabandizosiin,ni<<waabandizo>>siin,JRV-Web-ANISH
VAI,Ind,VAI_rfx,waabandizo,waabandizo,2Sg,2Sg,Neu,Neg,giwaabandizosii,gi<<waabandizo>>sii,NJ-Zoom-2023-Sep19,giwaabandizosiin,gi<<waabandizo>>siin,JRV-Web-ANISH
VAI,Ind,VAI_rfx,waabandizo,waabandizo,2Pl,2Pl,Neu,Neg,giwaabandizosiim,gi<<waabandizo>>siim,NJ-Zoom-2023-Sep19,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,3PlProx,3PlProx,Neu,Neg,waabandizosiiwag,<<waabandizo>>siiwag,NJ-Zoom-2023-Sep19; JRV-Web-ANISH,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,3SgObv,3SgObv,Neu,Neg,waabandizosiiwan,<<waabandizo>>siiwan,NJ-Zoom-2023-Sep19; JRV-Web-ANISH,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,3PlObv,3PlObv,Neu,Neg,waabandizosiiwa',<<waabandizo>>siiwa',NJ-Zoom-2023-Sep19; JRV-Web-ANISH,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,3SgProx,3SgProx,Neu,Neg,waabandizosii,<<waabandizo>>sii,NJ-Zoom-2023-Sep19; JRV-Web-ANISH,waabandizosiin,<<waabandizo>>siin,JRV-Web-ANISH
VAI,Ind,VAI_rfx,waabandizo,waabandizo,Excl,Excl,Neu,Neg,niwaabandizosiimin,ni<<waabandizo>>siimin,NJ-Zoom-2023-Sep19; JRV-Web-ANISH,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,Incl,Incl,Neu,Neg,giwaabandizosiimin,gi<<waabandizo>>siimin,NJ-Zoom-2023-Sep19; JRV-Web-ANISH,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,1Sg,1Sg,Neu,Pos,niwaabandiz,ni<<waabandiz>>,JRV-Web-ANISH,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,2Sg,2Sg,Neu,Pos,giwaabandiz,gi<<waabandiz>>,JRV-Web-ANISH,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,2Pl,2Pl,Neu,Pos,giwaabandizom,gi<<waabandizo>>m,GUESS,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,3PlProx,3PlProx,Neu,Pos,waabandizowag,<<waabandizo>>wag,JRV-Web-ANISH,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,3SgObv,3SgObv,Neu,Pos,waabandizowan,<<waabandizo>>wan,JRV-Web-ANISH,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,3PlObv,3PlObv,Neu,Pos,waabandizowa',<<waabandizo>>wa',GUESS,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,3SgProx,3SgProx,Neu,Pos,waabandizo,<<waabandizo>>w,JRV-Web-ANISH,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,Excl,Excl,Neu,Pos,niwaabandizomin,ni<<waabandizo>>min,JRV-Web-ANISH,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,Incl,Incl,Neu,Pos,giwaabandizomin,gi<<waabandizo>>min,JRV-Web-ANISH,,,
VAI,Imp,VAI_rfx,waabandizo,waabandizo,2Sg,2Sg,Sim,NA,waabandizon,<<waabandizo>>n,JRV-Web-ANISH,,,
VAI,Imp,VAI_rfx,waabandizo,waabandizo,Incl,Incl,Sim,NA,waabandizodaa,<<waabandizo>>daa,JRV-Web-ANISH,,,
VAI,Imp,VAI_rfx,waabandizo,waabandizo,2Sg,2Sg,Prb,NA,waabandizoken,<<waabandizo>>ken,JRV-Web-ANISH,,,
VAI,Imp,VAI_rfx,waabandizo,waabandizo,Incl,Incl,Prb,NA,waabandizosiidaa,<<waabandizo>>siidaa,JRV-Web-ANISH,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,3PlProx,3PlProx,Neu,Neg,waabandisigwaa,<<waabandi>>sigwaa,GUESS,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,3PlObv,3PlObv,Neu,Neg,waabandisinig,<<waabandi>>sinig,GUESS,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,Excl,Excl,Neu,Neg,waabandisiwaang,<<waabandi>>siwaang,GUESS,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,Incl,Incl,Neu,Neg,waabandisiwang,<<waabandi>>siwang,GUESS,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,2Pl,2Pl,Neu,Neg,waabandisiweg,<<waabandi>>siweg,GUESS,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,3PlProx,3PlProx,Neu,Pos,waabandiwaad,<<waabandi>>waad,GUESS,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,3PlObv,3PlObv,Neu,Pos,waabandinid,<<waabandi>>nid,GUESS,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,Excl,Excl,Neu,Pos,waabandiyaang,<<waabandi>>yaang,GUESS,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,Incl,Incl,Neu,Pos,waabandiyang,<<waabandi>>yang,GUESS,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,2Pl,2Pl,Neu,Pos,waabandiyeg,<<waabandi>>yeg,GUESS,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,3PlProx,3PlProx,Neu,Neg,waabandisiiwag,<<waabandi>>siiwag,GUESS,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,3PlObv,3PlObv,Neu,Neg,waabandisiiwa',<<waabandi>>siiwa',GUESS,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,Excl,Excl,Neu,Neg,niwaabandisiimin,ni<<waabandi>>siimin,GUESS,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,Incl,Incl,Neu,Neg,giwaabandisiimin,gi<<waabandi>>siimin,GUESS,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,2Pl,2Pl,Neu,Neg,giwaabandisiim,gi<<waabandi>>siim,GUESS,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,3PlProx,3PlProx,Neu,Pos,waabandiwag,<<waabandi>>wag,GUESS,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,3PlObv,3PlObv,Neu,Pos,waabandiwa',<<waabandi>>wa',GUESS,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,Excl,Excl,Neu,Pos,niwaabandimin,ni<<waabandi>>min,GUESS,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,Incl,Incl,Neu,Pos,giwaabandimin,gi<<waabandi>>min,GUESS,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,2Pl,2Pl,Neu,Pos,giwaabandim,gi<<waabandi>>m,GUESS,,,
VAI,Imp,VAI_rcp,waabandiwag,waabandi,Incl,Incl,Sim,NA,waabandidaa,<<waabandi>>daa,GUESS,,,
VAI,Imp,VAI_rcp,waabandiwag,waabandi,Incl,Incl,Del,NA,waabandisiidaa,<<waabandi>>siidaa,GUESS,,,
