Paradigm,Order,Class,Lemma,Stem,Head,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,3PlObvSubj,2PlObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,3PlObvSubj,2PlObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,3PlObvSubj,2PlObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,3PlObvSubj,2SgObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,3PlObvSubj,2SgObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,3PlObvSubj,2SgObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,3PlObvSubj,2SgObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,3PlObvSubj,2SgObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,3PlObvSubj,2SgObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,3PlObvSubj,2SgObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,3PlObvSubj,2SgObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,3PlObvSubj,2SgObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,3PlObvSubj,2SgObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,3PlObvSubj,3PlObvObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,3PlObvSubj,3PlObvObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,3PlObvSubj,3PlObvObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,3PlObvSubj,3PlObvObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,3PlObvSubj,3PlObvObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,3PlObvSubj,3PlObvObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,3PlObvSubj,3PlObvObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,3PlObvSubj,3PlObvObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,3PlObvSubj,3PlObvObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,3PlObvSubj,3PlObvObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,3PlObvSubj,3PlObvObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,3PlObvSubj,3PlObvObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,3PlObvSubj,3PlObvObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,3PlObvSubj,3PlObvObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,3PlObvSubj,3PlObvObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,3PlObvSubj,3PlObvObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,3PlObvSubj,3PlObvObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,3PlObvSubj,3PlObvObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,3PlObvSubj,3PlObvObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,3PlObvSubj,3PlObvObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,3PlObvSubj,3PlProxObj,Dub,Neg,mewadisigosiiwaagwenan,<ChCnj><<mawadis>>igosiiwaagwenan,GUESS
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,3PlObvSubj,3PlProxObj,Dub,Pos,mewadisigowaagwenan,<ChCnj><<mawadis>>igowaagwenan,GUESS
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,3PlObvSubj,3PlProxObj,Dub,Neg,maanigosiiwaagwenan,<ChCnj><<miin>>igosiiwaagwenan,GUESS
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,3PlObvSubj,3PlProxObj,Dub,Pos,maanigowaagwenan,<ChCnj><<miin>>igowaagwenan,GUESS
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,3PlObvSubj,3PlProxObj,Dub,Neg,mekaagosiiwaagwenan,<ChCnj><<mikaa>>gosiiwaagwenan,GUESS
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,3PlObvSubj,3PlProxObj,Dub,Pos,mekaagowaagwenan,<ChCnj><<mikaa>>gowaagwenan,GUESS
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,3PlObvSubj,3PlProxObj,Dub,Neg,mezhogosiiwaagwenan,<ChCnj><<mizho>>igosiiwaagwenan,GUESS
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,3PlObvSubj,3PlProxObj,Dub,Pos,mezhogowaagwenan,<ChCnj><<mizho>>igowaagwenan,GUESS
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,3PlObvSubj,3PlProxObj,Dub,Neg,wayaabamigosiiwaagwenan,<ChCnj><<waabam>>igosiiwaagwenan,GUESS
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,3PlObvSubj,3PlProxObj,Dub,Pos,wayaabamigowaagwenan,<ChCnj><<waabam>>igowaagwenan,GUESS
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,3PlObvSubj,3SgObvObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,3PlObvSubj,3SgObvObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,3PlObvSubj,3SgObvObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,3PlObvSubj,3SgObvObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,3PlObvSubj,3SgObvObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,3PlObvSubj,3SgObvObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,3PlObvSubj,3SgObvObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,3PlObvSubj,3SgObvObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,3PlObvSubj,3SgObvObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,3PlObvSubj,3SgObvObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,3PlObvSubj,3SgProxObj,Dub,Neg,mewadisigosiigwenan,<ChCnj><<mawadis>>igosiigwenan,GUESS
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,3PlObvSubj,3SgProxObj,Dub,Pos,mewadisigogwenan,<ChCnj><<mawadis>>igogwenan,GUESS
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,3PlObvSubj,3SgProxObj,Dub,Neg,maanigosiigwenan,<ChCnj><<miin>>igosiigwenan,GUESS
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,3PlObvSubj,3SgProxObj,Dub,Pos,maanigogwenan,<ChCnj><<miin>>igogwenan,GUESS
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,3PlObvSubj,3SgProxObj,Dub,Neg,mekaagosiigwenan,<ChCnj><<mikaa>>gosiigwenan,GUESS
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,3PlObvSubj,3SgProxObj,Dub,Pos,mekaagogwenan,<ChCnj><<mikaa>>gogwenan,GUESS
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,3PlObvSubj,3SgProxObj,Dub,Neg,mezhogosiigwenan,<ChCnj><<mizho>>igosiigwenan,GUESS
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,3PlObvSubj,3SgProxObj,Dub,Pos,mezhogogwenan,<ChCnj><<mizho>>igogwenan,GUESS
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,3PlObvSubj,3SgProxObj,Dub,Neg,wayaabamigosiigwenan,<ChCnj><<waabam>>igosiigwenan,GUESS
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,3PlObvSubj,3SgProxObj,Dub,Pos,wayaabamigogwenan,<ChCnj><<waabam>>igogwenan,GUESS
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,3PlObvSubj,ExclObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,3PlObvSubj,ExclObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,3PlObvSubj,ExclObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,3PlObvSubj,ExclObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,3PlObvSubj,ExclObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,3PlObvSubj,ExclObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,3PlObvSubj,ExclObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,3PlObvSubj,ExclObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,3PlObvSubj,ExclObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,3PlObvSubj,ExclObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,3PlObvSubj,InclObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,3PlObvSubj,InclObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,3PlObvSubj,InclObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,3PlObvSubj,InclObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,3PlObvSubj,InclObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,3PlObvSubj,InclObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,3PlObvSubj,InclObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,3PlObvSubj,InclObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,3PlObvSubj,InclObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,3PlObvSubj,InclObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,3PlProxSubj,3PlObvObj,Dub,Neg,mewadisaasiwaawaagwenan,<ChCnj><<mawadis>>aasiwaawaagwenan,GUESS
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,3PlProxSubj,3PlObvObj,Dub,Pos,mewadisaawaagwenan,<ChCnj><<mawadis>>aawaagwenan,GUESS
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,3PlProxSubj,3PlObvObj,Dub,Neg,maanaasiwaawaagwenan,<ChCnj><<miin>>aasiwaawaagwenan,GUESS
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,3PlProxSubj,3PlObvObj,Dub,Pos,maanaawaagwenan,<ChCnj><<miin>>aawaagwenan,GUESS
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,3PlProxSubj,3PlObvObj,Dub,Neg,mekawaasiwaawaagwenan,<ChCnj><<mikaw>>aasiwaawaagwenan,GUESS
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,3PlProxSubj,3PlObvObj,Dub,Pos,mekawaawaagwenan,<ChCnj><<mikaw>>aawaagwenan,GUESS
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,3PlProxSubj,3PlObvObj,Dub,Neg,mezhwaasiwaawaagwenan,<ChCnj><<mizhw>>aasiwaawaagwenan,GUESS
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,3PlProxSubj,3PlObvObj,Dub,Pos,mezhwaawaagwenan,<ChCnj><<mizhw>>aawaagwenan,GUESS
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,3PlProxSubj,3PlObvObj,Dub,Neg,wayaabamaasiwaawaagwenan,<ChCnj><<waabam>>aasiwaawaagwenan,GUESS
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,3PlProxSubj,3PlObvObj,Dub,Pos,wayaabamaawaagwenan,<ChCnj><<waabam>>aawaagwenan,GUESS
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,3SgObvSubj,3PlObvObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,3SgObvSubj,3PlObvObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,3SgObvSubj,3PlObvObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,3SgObvSubj,3PlObvObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,3SgObvSubj,3PlObvObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,3SgObvSubj,3PlObvObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,3SgObvSubj,3PlObvObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,3SgObvSubj,3PlObvObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,3SgObvSubj,3PlObvObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,3SgObvSubj,3PlObvObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,3SgProxSubj,3PlObvObj,Dub,Neg,mewadisaasiigwenan,<ChCnj><<mawadis>>aasiigwenan,GUESS
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,3SgProxSubj,3PlObvObj,Dub,Pos,mewadisaagwenan,<ChCnj><<mawadis>>aagwenan,GUESS
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,3SgProxSubj,3PlObvObj,Dub,Neg,maanaasiigwenan,<ChCnj><<miin>>aasiigwenan,GUESS
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,3SgProxSubj,3PlObvObj,Dub,Pos,maanaagwenan,<ChCnj><<miin>>aagwenan,GUESS
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,3SgProxSubj,3PlObvObj,Dub,Neg,mekawaasiigwenan,<ChCnj><<mikaw>>aasiigwenan,GUESS
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,3SgProxSubj,3PlObvObj,Dub,Pos,mekawaagwenan,<ChCnj><<mikaw>>aagwenan,GUESS
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,3SgProxSubj,3PlObvObj,Dub,Neg,mezhwaasiigwenan,<ChCnj><<mizhw>>aasiigwenan,GUESS
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,3SgProxSubj,3PlObvObj,Dub,Pos,mezhwaagwenan,<ChCnj><<mizhw>>aagwenan,GUESS
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,3SgProxSubj,3PlObvObj,Dub,Neg,wayaabamaasiigwenan,<ChCnj><<waabam>>aasiigwenan,GUESS
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,3SgProxSubj,3PlObvObj,Dub,Pos,wayaabamaagwenan,<ChCnj><<waabam>>aagwenan,GUESS
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,ExclSubj,3PlObvObj,Dub,Neg,mewadisaasiwaawangidenan,<ChCnj><<mawadis>>aasiwaawangidenan,GUESS
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,ExclSubj,3PlObvObj,Dub,Pos,mewadisaawangidenan,<ChCnj><<mawadis>>aawangidenan,GUESS
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,ExclSubj,3PlObvObj,Dub,Neg,maanaasiwaawangidenan,<ChCnj><<miin>>aasiwaawangidenan,GUESS
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,ExclSubj,3PlObvObj,Dub,Pos,maanaawangidenan,<ChCnj><<miin>>aawangidenan,GUESS
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,ExclSubj,3PlObvObj,Dub,Neg,mekawaasiwaawangidenan,<ChCnj><<mikaw>>aasiwaawangidenan,GUESS
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,ExclSubj,3PlObvObj,Dub,Pos,mekawaawangidenan,<ChCnj><<mikaw>>aawangidenan,GUESS
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,ExclSubj,3PlObvObj,Dub,Neg,mezhwaasiwaawangidenan,<ChCnj><<mizhw>>aasiwaawangidenan,GUESS
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,ExclSubj,3PlObvObj,Dub,Pos,mezhwaawangidenan,<ChCnj><<mizhw>>aawangidenan,GUESS
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,ExclSubj,3PlObvObj,Dub,Neg,wayaabamaasiwaawangidenan,<ChCnj><<waabam>>aasiwaawangidenan,GUESS
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,ExclSubj,3PlObvObj,Dub,Pos,wayaabamaawangidenan,<ChCnj><<waabam>>aawangidenan,GUESS
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,InclSubj,3PlObvObj,Dub,Neg,mewadisaasiwaawangenan,<ChCnj><<mawadis>>aasiwaawangenan,GUESS
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,InclSubj,3PlObvObj,Dub,Pos,mewadisaawangenan,<ChCnj><<mawadis>>aawangenan,GUESS
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,InclSubj,3PlObvObj,Dub,Neg,maanaasiwaawangenan,<ChCnj><<miin>>aasiwaawangenan,GUESS
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,InclSubj,3PlObvObj,Dub,Pos,maanaawangenan,<ChCnj><<miin>>aawangenan,GUESS
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,InclSubj,3PlObvObj,Dub,Neg,mekawaasiwaawangenan,<ChCnj><<mikaw>>aasiwaawangenan,GUESS
